办公室 / 辦公室,ban4gong1shi4<br>"noun 1 office 2 administrative department of a unit"
卫生间 / 衛生間,wei4sheng1jian1<br>"toilet (room)"
卫生 / 衛生,wei4sheng1<br>"noun hygiene; health; sanitation 
adjective sanitary; hygienic; good for one's health"
告诉 / 告訴,gao4su5<br>"verb tell; let know"
高速 / 高速,gao1su4<br>"noun 1 high (or fast) speed (opp. 低速) 2 abbreviation expressway; freeway"
出现 / 出現,chu1xian4<br>"verb appear; arise; emerge"
解决 / 解決,jie3jue2<br>"verb 1 solve; resolve; settle 2 dispose of; finish off"
极 / 極,ji2<br>"noun 1 utmost point; extremity 2 pole 
verb literary do one's utmost 
adjective extreme; of the highest degree 
adverb extremely; to the greatest extent; exceedingly"
注意 / 注意,zhu4yi4<br>"(V) to pay attention to"
到 / 到,dao4<br>"1 arrive; reach 火车到站了。 Huǒchē dào zhàn le. The train has arrived at the station. 到了多少人？ Dào le duōshao rén？ How many people were present? 时间到了。 Shíjiān dào le. Time's up. 到! Dào! (answer to roll call) Here! 2 go to; leave for 到兰州去 Dào Lánzhōu qù go to Lanzhou 到群众中去 dào qúnzhòng zhōng qù go among the masses; go into the midst of the masses 3 preposition up until; up to 从星期三到星期五 cóng Xīngqīsān dào Xīngqīwǔ from Wednesday to Friday 到目前为止 Dào mùqián wéizhǐ up to the present; until now; so far 工作到深夜 gōngzuò dào shēnyè work late into the night 温度降到零下二十度。 Wēndù jiàng dào língxià èrshí dù. The temperature dropped to minus twenty degrees centigrade. 4 (used as a verb complement to show the result of an action) 办得到 bàndedào can be done 说到做到 shuōdàozuòdào be as good as one's word 想不到你来了。 Xiǎng bù dào nǐ lái le. I didn't expect you would come. 我到处找那本书, 终于在床底下找到了。 Wǒ dàochù zhǎo nà běn shū, zhōngyú zài chuáng dǐxia zhǎodào le. I looked everywhere for the book, and finally found it under the bed. 5 thoughtful; considerate 不到之处请原谅。 Bù dào zhī chù qǐng yuánliàng. Please excuse me if I have been inconsiderate in any way."
哭 / 哭,ku1<br>"(V) to cry"
办法 / 辦法,ban4fa3<br>"noun way; means; measure"
